Order ID,Customer ID,Product ID,Category,Sub-Category,Segment,Ship Mode,Payment Mode,Return Status,Order Date,Region,Sales,Profit,Category.1,City,Country,Customer ID.1,Customer Name,Order ID.1,Payment Mode.1,Product ID.1,Product Name,Profit.1,Region.1,Return Status.1,Row ID,Sales.1,Segment.1,Ship Date,Ship Mode.1,State,Sub-Category.1,Order Date.1
ORD100000,CUST8672,PROD89482,Electronics,Accessories,Corporate,First Class,COD,Not Returned,2024-03-17,South,744.04,-105.35,Electronics,Delhi,Germany,CUST8672,Mr. Derek Mejia,ORD100000,COD,PROD89482,Six Accessories,-105.35,South,Not Returned,1,744.04,Corporate,2024-03-21,First Class,Ontario,Accessories,2024-03-17
ORD100001,CUST6292,PROD21663,Clothing,Pants,Corporate,Second Class,Card,Not Returned,2023-09-21,West,1950.17,-305.23,Clothing,Toronto,USA,CUST6292,Jacqueline Graham,ORD100001,Card,PROD21663,First Pants,-305.23,West,Not Returned,2,1950.17,Corporate,2023-09-25,Second Class,Ontario,Pants,2023-09-21
ORD100002,CUST4337,PROD86629,Electronics,Laptops,Corporate,Same Day,Online,Returned,2023-03-28,South,1338.87,289.83,Electronics,Delhi,India,CUST4337,Emily Vega,ORD100002,Online,PROD86629,Make Laptops,289.83,South,Returned,3,1338.87,Corporate,2023-04-06,Same Day,California,Laptops,2023-03-28
ORD100003,CUST9702,PROD52838,Electronics,Mobiles,Consumer,Same Day,Online,Returned,2022-07-22,North,71.07,5.07,Electronics,Los Angeles,Canada,CUST9702,Kristina Howard,ORD100003,Online,PROD52838,Family Mobiles,5.07,North,Returned,4,71.07,Consumer,2022-07-27,Same Day,Bavaria,Mobiles,2022-07-22
ORD100004,CUST4541,PROD36472,Clothing,Jackets,Corporate,Same Day,COD,Not Returned,2020-12-08,East,336.11,105.06,Clothing,Delhi,India,CUST4541,Angel Jones,ORD100004,COD,PROD36472,Expert Jackets,105.06,East,Not Returned,5,336.11,Corporate,2020-12-12,Same Day,California,Jackets,2020-12-08
ORD100005,CUST3791,PROD98329,Electronics,Cameras,Consumer,First Class,Online,Not Returned,2024-12-16,East,1981.84,622.83,Electronics,Delhi,UK,CUST3791,Russell Boyd,ORD100005,Online,PROD98329,Unit Cameras,622.83,East,Not Returned,6,1981.84,Consumer,2024-12-25,First Class,California,Cameras,2024-12-16
ORD100006,CUST6154,PROD29511,Furniture,Tables,Home Office,Second Class,COD,Not Returned,2020-10-06,East,191.57,26.91,Furniture,Houston,Canada,CUST6154,Donna Bowman,ORD100006,COD,PROD29511,Explain Tables,26.91,East,Not Returned,7,191.57,Home Office,2020-10-13,Second Class,Ontario,Tables,2020-10-06
ORD100007,CUST4998,PROD34200,Furniture,Beds,Consumer,Second Class,COD,Not Returned,2024-12-19,West,309.17,9.99,Furniture,Toronto,Germany,CUST4998,Alexandra Huerta,ORD100007,COD,PROD34200,Any Beds,9.99,West,Not Returned,8,309.17,Consumer,2024-12-24,Second Class,Delhi,Beds,2024-12-19
ORD100008,CUST5557,PROD44572,Clothing,Jackets,Corporate,Same Day,COD,Not Returned,2023-12-08,East,1272.64,260.67,Clothing,Houston,India,CUST5557,Michael Tran,ORD100008,COD,PROD44572,Campaign Jackets,260.67,East,Not Returned,9,1272.64,Corporate,2023-12-10,Same Day,California,Jackets,2023-12-08
ORD100009,CUST2075,PROD37911,Electronics,Mobiles,Consumer,Standard,Card,Not Returned,2021-10-22,West,594.27,-108.83,Electronics,Delhi,UK,CUST2075,Jeffrey Clements,ORD100009,Card,PROD37911,Lead Mobiles,-108.83,West,Not Returned,10,594.27,Consumer,2021-11-01,Standard,Ontario,Mobiles,2021-10-22
ORD100010,CUST7023,PROD51776,Furniture,Sofas,Home Office,Second Class,COD,Returned,2024-04-06,North,102.05,18.54,Furniture,Los Angeles,USA,CUST7023,Samuel Mclaughlin,ORD100010,COD,PROD51776,Fight Sofas,18.54,North,Returned,11,102.05,Home Office,2024-04-15,Second Class,Maharashtra,Sofas,2024-04-06
ORD100011,CUST2155,PROD34837,Furniture,Chairs,Home Office,Same Day,Card,Returned,2024-04-13,South,1890.5,417.83,Furniture,Delhi,Germany,CUST2155,Valerie Armstrong,ORD100011,Card,PROD34837,Especially Chairs,417.83,South,Returned,12,1890.5,Home Office,2024-04-19,Same Day,Maharashtra,Chairs,2024-04-13
ORD100012,CUST3622,PROD98000,Electronics,Laptops,Consumer,Second Class,Card,Not Returned,2024-04-07,North,824.79,236.15,Electronics,Los Angeles,USA,CUST3622,John Hayes,ORD100012,Card,PROD98000,Note Laptops,236.15,North,Not Returned,13,824.79,Consumer,2024-04-11,Second Class,Texas,Laptops,2024-04-07
ORD100013,CUST1777,PROD60781,Electronics,Accessories,Consumer,First Class,Card,Returned,2023-08-20,West,1319.44,480.43,Electronics,Munich,USA,CUST1777,Andrea Mack,ORD100013,Card,PROD60781,Power Accessories,480.43,West,Returned,14,1319.44,Consumer,2023-08-21,First Class,Delhi,Accessories,2023-08-20
ORD100014,CUST5579,PROD17665,Furniture,Tables,Corporate,Same Day,COD,Returned,2020-09-27,West,936.85,333.15,Furniture,New York City,India,CUST5579,Sean Zimmerman,ORD100014,COD,PROD17665,Station Tables,333.15,West,Returned,15,936.85,Corporate,2020-10-04,Same Day,Maharashtra,Tables,2020-09-27
ORD100015,CUST5477,PROD87098,Electronics,Mobiles,Home Office,Standard,Card,Not Returned,2022-11-10,West,763.18,246.52,Electronics,Delhi,India,CUST5477,Mary Owens,ORD100015,Card,PROD87098,Age Mobiles,246.52,West,Not Returned,16,763.18,Home Office,2022-11-17,Standard,Texas,Mobiles,2022-11-10
ORD100016,CUST6118,PROD84629,Clothing,Shoes,Consumer,Standard,COD,Returned,2022-01-14,North,1047.62,-90.05,Clothing,Houston,Germany,CUST6118,Barbara Allison,ORD100016,COD,PROD84629,Investment Shoes,-90.05,North,Returned,17,1047.62,Consumer,2022-01-20,Standard,Ontario,Shoes,2022-01-14
ORD100017,CUST6683,PROD65664,Clothing,Shirts,Consumer,Same Day,COD,Not Returned,2023-12-21,North,1065.21,-124.9,Clothing,New York City,Canada,CUST6683,James Landry,ORD100017,COD,PROD65664,Call Shirts,-124.9,North,Not Returned,18,1065.21,Consumer,2023-12-28,Same Day,California,Shirts,2023-12-21
ORD100018,CUST3832,PROD73680,Electronics,Accessories,Consumer,Second Class,Card,Returned,2021-04-06,South,1111.76,-114.7,Electronics,Mumbai,India,CUST3832,Nicole Hernandez,ORD100018,Card,PROD73680,Strong Accessories,-114.7,South,Returned,19,1111.76,Consumer,2021-04-12,Second Class,California,Accessories,2021-04-06
ORD100019,CUST6663,PROD85565,Electronics,Cameras,Consumer,Second Class,Online,Returned,2021-05-17,East,1013.94,391.82,Electronics,New York City,Canada,CUST6663,Carol Paul,ORD100019,Online,PROD85565,Admit Cameras,391.82,East,Returned,20,1013.94,Consumer,2021-05-24,Second Class,Delhi,Cameras,2021-05-17
ORD100020,CUST3470,PROD75408,Clothing,Shirts,Corporate,First Class,COD,Returned,2024-07-23,West,1144.0,56.68,Clothing,Mumbai,USA,CUST3470,Bryan Richardson,ORD100020,COD,PROD75408,Pull Shirts,56.68,West,Returned,21,1144.0,Corporate,2024-07-31,First Class,California,Shirts,2024-07-23
ORD100021,CUST4574,PROD79882,Electronics,Laptops,Home Office,First Class,Online,Returned,2021-06-19,West,40.34,0.04,Electronics,Toronto,Germany,CUST4574,Margaret Carr,ORD100021,Online,PROD79882,Seat Laptops,0.04,West,Returned,22,40.34,Home Office,2021-06-28,First Class,Bavaria,Laptops,2021-06-19
ORD100022,CUST3251,PROD82282,Furniture,Sofas,Consumer,Second Class,Online,Not Returned,2024-12-29,West,1711.48,12.95,Furniture,Mumbai,Germany,CUST3251,Larry Crosby,ORD100022,Online,PROD82282,For Sofas,12.95,West,Not Returned,23,1711.48,Consumer,2025-01-06,Second Class,Ontario,Sofas,2024-12-29
